id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
5,320,132,46,3,0,0,2,13,13,3,0,0,5
9,333,0,0,81,0,0,0,1,0,0,1,0,0
10,306,32,25,0,0,0,0,42,0,4,0,3,0
11,296,27,31,0,62,1,2,4,0,0,2,0,0
13,304,5,92,0,234,0,4,16,1,5,0,0,0
16,261,0,0,0,0,0,4,0,0,2,0,0,0
18,271,0,0,0,0,0,1,0,0,1,0,0,0
20,314,0,0,86,0,0,0,0,0,1,0,0,0
22,310,86,13,0,3,0,1,68,0,62,0,1,0
24,341,42,20,0,231,1,0,85,3,1,0,0,0
25,307,0,0,0,0,0,0,0,1,2,0,0,0
26,288,36,3,37,1,0,1,0,1,2,0,0,0
28,331,17,132,0,0,0,0,44,0,0,0,0,0
29,289,42,15,38,0,0,0,8,0,2,0,0,0
30,275,12,1,119,0,0,1,0,2,1,0,0,0
31,323,41,52,0,0,0,0,55,1,78,1,38,3
34,278,0,0,0,0,0,1,0,1,1,0,0,0
38,342,44,13,66,4,0,1,5,0,5,2,1,0
40,335,31,49,0,120,0,1,82,0,1,0,0,0
41,248,71,18,0,0,0,0,34,0,31,1,18,0
47,242,21,2,57,0,0,0,0,0,2,0,0,0
49,283,1,0,0,0,1,3,99,2,0,1,1,130
50,294,18,7,0,0,0,4,51,0,4,0,31,1
52,265,51,14,92,0,0,6,0,0,1,0,0,0
53,301,19,22,0,240,0,1,110,0,0,0,0,0
54,312,19,1,88,0,0,1,2,1,0,0,0,0
55,348,41,40,0,2,107,8,2,0,0,2,0,0
57,272,11,1,61,0,0,0,0,0,0,0,0,0
58,269,14,61,0,60,1,2,21,0,0,3,0,0
62,328,41,82,0,0,0,0,83,0,0,0,0,4
63,325,1,79,0,3,3,3,0,1,2,38,0,0
64,290,61,14,0,0,2,2,76,1,28,0,6,2
65,254,0,0,0,0,0,1,0,1,2,1,1,0
66,298,38,7,87,0,0,0,10,1,0,0,0,2
74,305,4,100,0,6,0,0,71,0,76,0,3,2
80,287,29,3,88,0,0,0,1,0,0,0,0,0
82,315,16,50,0,88,1,0,56,0,0,3,0,0
