id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
0,758,36,7,0,0,1,4,3,0,21,0,1,0
3,769,19,90,45,0,223,0,3,1,0,0,202,0
7,751,47,9,4,0,1,14,16,0,37,2,1,0
13,745,73,27,2,0,1,130,21,4,0,0,0,0
17,759,7,99,4,1,232,1,4,0,0,1,1,0
18,689,106,31,0,0,0,103,21,0,39,0,0,0
19,723,66,18,43,0,203,6,7,0,0,0,6,0
20,733,54,16,1,0,1,4,8,0,38,1,0,0
22,734,17,37,0,176,0,1,28,0,0,2,0,0
23,746,33,8,12,0,0,21,22,104,11,0,0,0
24,763,51,79,0,0,0,0,0,1,0,0,0,0
25,764,44,51,1,0,2,27,3,0,68,0,0,0
26,711,44,18,8,0,0,102,15,2,0,0,0,0
27,784,28,13,3,0,0,18,24,0,29,0,0,0
30,779,63,14,5,1,0,74,4,3,0,0,0,0
32,773,23,34,18,0,177,2,4,2,0,0,90,0
35,778,48,19,1,0,0,86,15,1,0,1,1,0
39,739,75,26,0,0,2,27,8,2,101,1,1,0
40,667,36,3,20,0,12,0,0,0,0,0,29,140
45,783,40,23,5,0,0,31,9,1,29,0,0,0
46,770,73,20,3,1,0,108,10,0,0,0,0,9
50,725,34,21,2,0,0,30,5,0,0,0,0,0
51,714,48,21,7,0,0,24,19,1,7,0,0,0
52,735,47,50,1,0,0,84,23,1,0,1,0,0
53,652,23,5,0,3,0,1,2,5,0,0,1,0
67,710,59,16,0,0,1,51,14,0,26,0,0,0
100,736,55,10,8,0,0,91,16,0,0,0,0,0
