id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
8,422,19,5,62,1,0,3,2,1,0,0,0,0
9,365,11,1,105,0,0,0,0,1,2,1,0,0
12,407,33,13,73,0,0,0,2,0,8,1,2,0
13,408,0,0,61,0,0,1,2,0,0,0,0,0
21,400,142,37,0,0,0,0,0,0,0,0,0,0
26,409,64,66,1,0,0,0,62,0,90,0,2,1
29,417,26,35,2,0,0,0,3,2,1,1,0,0
31,423,6,0,90,0,0,0,0,1,3,0,0,0
32,374,40,5,75,0,0,0,1,0,0,0,0,0
34,398,17,78,0,284,3,0,101,1,1,0,0,0
35,410,6,1,0,1,4,4,88,4,3,0,0,166
37,412,59,8,3,139,0,0,22,1,1,4,0,0
41,399,55,25,52,0,51,2,11,1,0,0,0,0
46,339,22,4,59,0,0,0,0,0,2,0,0,0
49,424,43,79,0,0,0,0,111,0,0,0,0,1
52,317,0,0,0,0,0,0,0,0,1,0,0,0
53,418,16,1,79,0,1,1,0,0,5,0,0,0
57,445,12,4,60,1,1,1,0,0,2,1,0,0
61,394,36,36,0,250,1,1,121,2,4,0,0,0
63,402,0,0,0,0,1,2,0,0,3,0,0,0
67,318,12,3,34,0,0,4,0,0,1,0,0,0
70,363,12,3,83,0,0,2,0,1,3,0,0,0
72,405,0,0,48,0,0,2,1,0,3,0,0,0
74,415,5,94,0,255,1,1,101,2,3,0,0,3
78,358,25,0,62,3,0,1,0,0,2,1,2,0
80,349,24,0,93,0,0,4,0,1,2,0,0,0
81,428,67,64,1,0,0,1,40,1,15,0,22,0
82,425,50,26,0,7,129,20,5,0,0,0,0,0
83,383,9,0,63,0,1,0,0,1,3,0,0,0
87,439,6,91,0,0,0,0,47,0,56,0,14,0
88,411,15,42,0,0,0,0,0,3,4,23,0,1
