id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
5,703,36,18,17,0,0,42,14,2,1,3,1,1
7,630,57,13,10,0,0,139,17,0,1,0,0,0
8,692,58,10,7,0,0,30,21,1,2,0,0,0
11,657,51,12,9,0,0,65,17,0,0,0,0,0
12,696,53,2,17,1,4,15,6,0,0,0,0,0
14,706,48,18,4,1,0,46,5,9,2,0,1,0
19,686,32,8,12,0,3,2,0,0,0,0,5,121
28,707,77,17,16,0,1,52,6,0,0,0,0,0
29,681,75,46,7,0,0,81,25,2,2,0,0,0
30,689,106,31,0,0,0,103,21,0,39,0,0,0
31,651,45,8,14,0,0,102,17,10,1,0,0,0
35,723,66,18,43,0,203,6,7,0,0,0,6,0
36,708,56,24,1,0,177,1,0,0,0,0,0,0
37,690,45,5,8,0,0,51,6,0,1,0,0,0
38,733,54,16,1,0,1,4,8,0,38,1,0,0
39,734,17,37,0,176,0,1,28,0,0,2,0,0
40,664,59,12,22,0,0,74,12,0,0,0,0,0
42,711,44,18,8,0,0,102,15,2,0,0,0,0
45,700,94,8,27,0,0,98,5,0,0,0,0,0
46,683,83,16,7,0,0,87,1,0,1,0,0,0
49,724,65,20,5,0,0,58,20,1,16,0,0,0
50,695,7,73,0,0,0,0,0,89,0,0,0,0
55,667,36,3,20,0,12,0,0,0,0,0,29,140
56,661,46,4,5,2,0,70,22,0,0,0,0,0
58,674,59,9,23,1,0,78,49,38,0,0,1,0
60,725,34,21,2,0,0,30,5,0,0,0,0,0
61,714,48,21,7,0,0,24,19,1,7,0,0,0
62,735,47,50,1,0,0,84,23,1,0,1,0,0
63,652,23,5,0,3,0,1,2,5,0,0,1,0
67,701,57,17,2,0,0,44,7,0,1,0,0,0
68,709,39,2,0,0,0,59,15,2,0,0,0,0
73,710,59,16,0,0,1,51,14,0,26,0,0,0
74,641,47,23,2,1,0,61,6,0,2,0,0,0
75,717,34,16,2,0,232,0,6,0,0,0,23,0
86,675,54,5,3,0,0,77,6,0,0,0,0,0
91,633,81,9,3,0,0,121,25,0,0,0,0,0
