id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
6,422,19,5,62,1,0,3,2,1,0,0,0,0
7,450,0,0,0,1,0,1,0,3,4,13,0,0
10,443,0,0,0,0,0,0,0,1,1,0,0,0
11,432,0,0,0,0,3,2,0,0,1,0,0,0
12,473,0,0,101,2,1,1,0,0,1,0,0,0
13,407,33,13,73,0,0,0,2,0,8,1,2,0
17,477,43,61,0,1,1,0,69,0,109,1,2,3
18,400,142,37,0,0,0,0,0,0,0,0,0,0
22,441,0,0,0,0,0,0,0,1,2,0,0,0
23,421,8,0,51,0,0,0,0,1,6,0,0,0
25,423,6,0,90,0,0,0,0,1,3,0,0,0
28,474,29,54,0,204,15,1,17,1,4,0,0,0
32,412,59,8,3,139,0,0,22,1,1,4,0,0
33,399,55,25,52,0,51,2,11,1,0,0,0,0
39,448,25,44,1,254,0,0,28,0,3,1,0,0
40,447,35,6,1,100,0,0,33,3,4,0,0,0
43,431,33,45,0,77,1,3,13,3,5,0,0,0
44,418,16,1,79,0,1,1,0,0,5,0,0,0
45,465,0,0,0,0,0,0,0,1,1,0,0,0
46,472,27,4,0,3,0,1,26,0,1,0,0,1
49,461,28,48,1,100,1,2,31,2,6,0,0,1
51,445,12,4,60,1,1,1,0,0,2,1,0,0
55,466,77,49,1,1,0,0,96,0,168,0,1,4
58,481,21,5,99,0,0,2,4,1,8,0,0,0
59,405,0,0,48,0,0,2,1,0,3,0,0,0
63,452,39,81,1,20,276,24,8,1,2,1,0,0
66,475,56,3,5,98,2,1,45,1,2,0,0,0
71,383,9,0,63,0,1,0,0,1,3,0,0,0
72,456,36,77,0,1,0,1,25,1,49,0,78,0
76,457,0,117,0,290,4,3,18,7,1,0,0,0
