id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
0,282,36,55,0,0,0,5,13,3,27,1,0,1
3,290,29,30,0,0,0,39,9,0,0,0,1,0
7,262,0,0,0,0,0,1,0,0,0,0,0,57
8,283,16,49,0,221,0,0,4,0,0,0,0,0
11,286,64,41,1,0,0,31,8,1,2,0,0,0
12,274,12,72,0,0,220,0,1,0,0,0,21,0
15,256,25,33,0,155,0,0,41,0,0,0,0,0
20,284,54,10,2,0,1,0,6,0,0,0,0,0
30,279,26,2,0,0,0,0,0,0,0,1,0,115
32,306,9,48,1,0,0,1,0,0,0,1,0,91
33,248,3,86,0,181,0,1,11,0,0,0,1,0
34,263,0,0,0,0,10,0,0,0,0,0,0,0
35,263,0,0,0,0,10,0,0,0,0,0,0,0
39,267,47,23,40,0,0,0,25,0,0,11,0,0
40,267,47,23,40,0,0,0,25,0,0,11,0,0
41,297,22,55,0,2,0,70,12,0,16,1,0,0
52,281,12,27,0,0,0,13,11,0,14,0,0,1
53,252,3,89,0,249,1,0,58,0,0,1,1,0
55,324,8,69,0,0,0,0,76,54,0,0,0,2
57,317,7,34,1,0,0,0,0,1,0,0,0,132
65,301,45,5,0,1,1,1,65,0,0,1,1,0
67,311,17,94,1,0,1,54,7,1,17,0,0,1
69,300,8,1,0,0,0,0,0,0,0,0,0,0
79,295,16,85,0,0,0,16,5,0,20,0,0,0
81,254,19,4,0,0,0,0,0,0,0,0,0,0
87,327,31,59,0,0,0,43,15,1,6,1,0,0
90,303,0,0,0,0,0,0,0,0,0,0,0,114
