id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
2,541,19,2,36,0,0,0,0,2,8,0,0,0
10,563,36,58,1,2,0,0,80,0,117,1,1,4
13,545,28,60,0,3,2,0,24,0,136,1,0,4
15,578,27,88,1,1,299,87,2,0,1,11,0,0
20,557,17,72,0,0,222,83,2,1,1,2,1,0
21,532,30,21,0,195,2,1,21,3,4,0,0,0
23,552,57,47,0,8,255,18,12,1,1,0,0,2
28,539,79,23,0,0,5,1,74,23,10,0,0,0
29,530,20,1,75,0,0,1,2,3,5,0,0,0
31,507,9,108,2,218,15,1,11,4,2,0,0,0
33,524,28,16,77,0,0,0,1,1,2,2,2,1
34,564,18,80,0,0,215,12,6,1,1,0,2,2
36,558,39,95,0,0,0,0,37,0,144,2,88,0
45,567,83,14,1,1,0,0,38,0,195,2,2,0
47,568,0,29,16,0,0,1,5,0,4,9,0,0
53,540,25,3,64,3,0,0,0,0,2,3,0,1
54,547,15,2,48,0,0,0,0,6,4,0,0,1
58,571,20,1,6,2,0,1,2,4,2,0,0,14
60,512,18,1,109,77,2,3,39,3,5,0,0,78
61,550,53,81,0,2,0,0,25,0,144,0,30,1
62,577,87,24,0,1,0,0,41,0,102,2,3,1
