id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
8,191,7,93,0,0,0,2,174,1,1,38,0,0
12,190,44,45,0,0,0,0,41,0,1,5,0,0
14,180,22,21,0,0,1,5,0,1,0,3,0,0
19,147,9,18,0,0,0,0,0,1,0,16,0,0
23,156,34,9,0,0,0,1,5,1,1,29,0,0
24,157,28,30,0,0,1,0,4,2,0,1,0,0
27,86,22,18,0,1,0,0,0,1,2,13,0,0
28,193,52,35,0,0,0,0,0,1,5,0,0,0
31,171,11,65,0,18,1,2,0,0,1,1,0,0
34,174,0,153,0,1,0,0,70,1,1,27,0,0
35,199,47,14,2,0,0,1,7,0,0,8,0,0
39,188,21,49,0,0,0,0,7,1,1,12,0,0
42,200,34,51,0,0,0,0,26,0,3,6,0,0
43,175,97,19,0,354,347,0,3,0,0,0,0,0
44,189,49,14,0,0,0,0,60,1,1,3,0,0
47,159,78,7,0,0,0,0,0,0,1,13,0,0
51,198,42,46,0,0,0,0,83,1,1,7,0,0
52,161,58,10,0,0,0,0,1,0,1,1,0,0
54,182,56,12,0,0,0,0,10,0,0,17,0,0
57,158,62,8,0,0,0,0,0,0,0,9,0,0
59,186,63,10,0,0,0,3,18,2,0,48,0,0
60,178,32,38,0,0,0,0,3,0,0,29,0,0
62,177,60,4,0,0,0,0,57,0,0,37,0,0
67,150,83,7,10,0,0,0,4,3,0,35,0,0
68,172,101,5,0,0,0,0,27,2,1,19,0,0
69,167,58,34,0,0,0,0,0,0,0,53,0,0
72,168,62,3,0,10,0,0,0,0,0,3,0,0
