id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
3,541,19,2,36,0,0,0,0,2,8,0,0,0
10,563,36,58,1,2,0,0,80,0,117,1,1,4
11,537,80,60,1,6,0,0,28,0,157,1,1,0
14,545,28,60,0,3,2,0,24,0,136,1,0,4
17,578,27,88,1,1,299,87,2,0,1,11,0,0
22,557,17,72,0,0,222,83,2,1,1,2,1,0
23,583,38,3,18,0,0,2,0,4,5,0,0,3
26,532,30,21,0,195,2,1,21,3,4,0,0,0
27,552,57,47,0,8,255,18,12,1,1,0,0,2
32,539,79,23,0,0,5,1,74,23,10,0,0,0
33,530,20,1,75,0,0,1,2,3,5,0,0,0
39,524,28,16,77,0,0,0,1,1,2,2,2,1
41,564,18,80,0,0,215,12,6,1,1,0,2,2
43,558,39,95,0,0,0,0,37,0,144,2,88,0
52,567,83,14,1,1,0,0,38,0,195,2,2,0
54,568,0,29,16,0,0,1,5,0,4,9,0,0
58,540,25,3,64,3,0,0,0,0,2,3,0,1
64,571,20,1,6,2,0,1,2,4,2,0,0,14
66,512,18,1,109,77,2,3,39,3,5,0,0,78
67,550,53,81,0,2,0,0,25,0,144,0,30,1
69,577,87,24,0,1,0,0,41,0,102,2,3,1
