id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
1,541,19,2,36,0,0,0,0,2,8,0,0,0
5,563,36,58,1,2,0,0,80,0,117,1,1,4
7,545,28,60,0,3,2,0,24,0,136,1,0,4
9,578,27,88,1,1,299,87,2,0,1,11,0,0
14,557,17,72,0,0,222,83,2,1,1,2,1,0
15,583,38,3,18,0,0,2,0,4,5,0,0,3
18,532,30,21,0,195,2,1,21,3,4,0,0,0
25,539,79,23,0,0,5,1,74,23,10,0,0,0
26,530,20,1,75,0,0,1,2,3,5,0,0,0
30,524,28,16,77,0,0,0,1,1,2,2,2,1
31,564,18,80,0,0,215,12,6,1,1,0,2,2
32,558,39,95,0,0,0,0,37,0,144,2,88,0
41,567,83,14,1,1,0,0,38,0,195,2,2,0
43,568,0,29,16,0,0,1,5,0,4,9,0,0
46,587,95,32,1,0,0,0,36,0,0,0,0,0
49,540,25,3,64,3,0,0,0,0,2,3,0,1
56,571,20,1,6,2,0,1,2,4,2,0,0,14
57,512,18,1,109,77,2,3,39,3,5,0,0,78
59,550,53,81,0,2,0,0,25,0,144,0,30,1
60,577,87,24,0,1,0,0,41,0,102,2,3,1
