id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
3,328,21,52,1,68,0,3,4,0,0,0,1,0
4,352,6,80,2,0,0,18,3,0,8,0,0,1
9,262,0,0,0,0,0,1,0,0,0,0,0,57
10,283,16,49,0,221,0,0,4,0,0,0,0,0
22,284,54,10,2,0,1,0,6,0,0,0,0,0
32,353,79,13,0,0,0,0,95,3,0,0,0,0
35,279,26,2,0,0,0,0,0,0,0,1,0,115
36,306,9,48,1,0,0,1,0,0,0,1,0,91
37,263,0,0,0,0,10,0,0,0,0,0,0,0
41,316,29,80,0,1,0,11,11,1,2,1,1,0
49,343,19,3,0,0,0,0,0,0,0,0,1,1
53,359,33,19,0,4,0,0,24,0,0,0,0,0
55,324,8,69,0,0,0,0,76,54,0,0,0,2
57,317,7,34,1,0,0,0,0,1,0,0,0,132
65,301,45,5,0,1,1,1,65,0,0,1,1,0
66,300,8,1,0,0,0,0,0,0,0,0,0,0
71,319,2,99,0,247,5,1,30,0,0,1,0,0
73,345,0,56,0,0,0,0,47,103,0,0,0,0
80,254,19,4,0,0,0,0,0,0,0,0,0,0
81,320,3,144,0,0,0,0,0,0,0,0,0,0
86,336,9,64,1,168,0,0,3,0,0,0,0,0
88,327,31,59,0,0,0,43,15,1,6,1,0,0
89,336,9,64,1,168,0,0,3,0,0,0,0,0
90,334,1,106,0,0,0,16,6,0,25,0,0,0
