id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
4,703,36,18,17,0,0,42,14,2,1,3,1,1
6,692,58,10,7,0,0,30,21,1,2,0,0,0
11,657,51,12,9,0,0,65,17,0,0,0,0,0
12,758,36,7,0,0,1,4,3,0,21,0,1,0
13,696,53,2,17,1,4,15,6,0,0,0,0,0
14,706,48,18,4,1,0,46,5,9,2,0,1,0
18,751,47,9,4,0,1,14,16,0,37,2,1,0
19,744,13,59,3,0,254,1,0,1,0,1,6,0
20,686,32,8,12,0,3,2,0,0,0,0,5,121
28,745,73,27,2,0,1,130,21,4,0,0,0,0
31,707,77,17,16,0,1,52,6,0,0,0,0,0
33,689,106,31,0,0,0,103,21,0,39,0,0,0
38,723,66,18,43,0,203,6,7,0,0,0,6,0
39,708,56,24,1,0,177,1,0,0,0,0,0,0
40,690,45,5,8,0,0,51,6,0,1,0,0,0
41,733,54,16,1,0,1,4,8,0,38,1,0,0
42,740,5,79,32,9,269,0,2,1,0,0,160,0
43,734,17,37,0,176,0,1,28,0,0,2,0,0
45,746,33,8,12,0,0,21,22,104,11,0,0,0
47,711,44,18,8,0,0,102,15,2,0,0,0,0
49,700,94,8,27,0,0,98,5,0,0,0,0,0
50,683,83,16,7,0,0,87,1,0,1,0,0,0
52,724,65,20,5,0,0,58,20,1,16,0,0,0
57,667,36,3,20,0,12,0,0,0,0,0,29,140
59,739,75,26,0,0,2,27,8,2,101,1,1,0
60,661,46,4,5,2,0,70,22,0,0,0,0,0
63,674,59,9,23,1,0,78,49,38,0,0,1,0
64,725,34,21,2,0,0,30,5,0,0,0,0,0
65,714,48,21,7,0,0,24,19,1,7,0,0,0
66,735,47,50,1,0,0,84,23,1,0,1,0,0
67,652,23,5,0,3,0,1,2,5,0,0,1,0
70,701,57,17,2,0,0,44,7,0,1,0,0,0
71,757,70,17,0,0,0,0,0,79,0,0,0,0
72,709,39,2,0,0,0,59,15,2,0,0,0,0
77,710,59,16,0,0,1,51,14,0,26,0,0,0
79,717,34,16,2,0,232,0,6,0,0,0,23,0
