id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
1,571,80,23,6,1,0,0,46,36,0,0,0,0
5,565,103,13,15,1,0,137,18,0,0,0,0,0
6,597,9,68,1,5,209,2,0,1,0,0,19,0
7,543,43,4,3,1,0,80,17,0,0,0,0,0
15,580,0,0,1,0,0,1,0,0,1,0,0,137
19,572,157,21,1,0,0,141,9,0,0,0,0,0
24,578,87,7,0,0,0,124,12,0,0,0,0,0
25,558,66,25,0,0,0,121,15,6,2,0,0,0
27,531,104,39,3,0,0,242,13,1,1,0,0,0
28,593,51,5,12,0,1,92,21,4,0,0,1,0
31,579,19,35,5,15,139,1,2,0,0,1,7,0
32,563,0,0,1,1,0,0,0,0,2,1,0,0
33,569,30,44,3,0,233,0,0,0,0,0,39,0
39,581,9,111,9,1,268,1,5,3,0,0,29,0
40,554,57,10,0,0,0,0,0,0,0,1,1,50
50,590,35,19,0,0,0,0,0,0,0,1,0,0
54,564,20,2,0,0,0,2,0,0,0,0,0,30
55,587,0,0,1,0,0,1,0,0,0,0,0,0
