id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
5,755,58,75,1,0,0,100,28,1,69,0,0,0
8,758,36,7,0,0,1,4,3,0,21,0,1,0
16,751,47,9,4,0,1,14,16,0,37,2,1,0
25,745,73,27,2,0,1,130,21,4,0,0,0,0
28,689,106,31,0,0,0,103,21,0,39,0,0,0
29,759,7,99,4,1,232,1,4,0,0,1,1,0
31,733,54,16,1,0,1,4,8,0,38,1,0,0
33,734,17,37,0,176,0,1,28,0,0,2,0,0
35,746,33,8,12,0,0,21,22,104,11,0,0,0
36,764,44,51,1,0,2,27,3,0,68,0,0,0
37,711,44,18,8,0,0,102,15,2,0,0,0,0
39,700,94,8,27,0,0,98,5,0,0,0,0,0
42,784,28,13,3,0,0,18,24,0,29,0,0,0
44,779,63,14,5,1,0,74,4,3,0,0,0,0
45,773,23,34,18,0,177,2,4,2,0,0,90,0
47,778,48,19,1,0,0,86,15,1,0,1,1,0
51,780,43,18,2,0,0,36,15,1,9,0,1,0
53,783,40,23,5,0,0,31,9,1,29,0,0,0
57,725,34,21,2,0,0,30,5,0,0,0,0,0
59,714,48,21,7,0,0,24,19,1,7,0,0,0
72,710,59,16,0,0,1,51,14,0,26,0,0,0
101,736,55,10,8,0,0,91,16,0,0,0,0,0
