id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
1,424,50,27,0,2,0,1,16,0,0,20,1,0
3,377,11,0,0,0,0,0,0,0,0,0,1,0
6,448,14,3,0,124,0,0,4,0,0,0,0,63
15,452,13,86,0,1,4,2,23,1,0,0,0,17
18,449,31,6,0,128,0,1,0,0,0,0,0,21
27,426,0,0,0,0,3,0,0,0,0,0,0,0
30,447,0,146,3,160,0,0,9,0,0,0,0,0
33,478,5,94,0,241,0,1,3,0,0,0,0,0
36,459,26,99,0,0,0,113,16,4,2,0,0,0
38,468,34,25,0,0,67,0,1,2,1,0,0,0
43,454,0,0,0,0,0,2,0,0,0,1,0,0
50,481,35,82,0,1,0,159,21,4,0,0,0,0
51,444,0,90,5,19,268,1,3,2,0,0,10,0
53,403,4,94,0,214,0,0,14,0,0,0,0,0
58,437,7,69,0,215,0,2,4,0,0,0,3,0
60,438,9,34,1,1,0,0,1,0,0,0,0,3
62,466,6,27,4,2,0,1,22,49,0,1,1,0
64,427,31,9,0,0,0,0,2,6,0,1,3,78
65,396,19,0,0,0,0,0,0,0,0,0,0,0
67,391,10,1,0,0,0,0,0,0,0,0,1,116
68,474,16,2,0,0,0,0,0,0,0,0,0,1
74,473,26,46,8,0,276,0,3,0,0,0,42,0
76,453,1,54,1,124,0,0,2,0,0,0,0,0
81,415,6,102,1,97,0,3,3,0,0,2,0,0
83,424,50,27,0,2,0,1,16,0,0,20,1,0
