id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
1,82,38,16,0,45,0,0,1,0,0,0,0,0
3,50,51,29,10,2,0,0,1,0,0,0,0,0
5,51,30,15,13,0,0,2,9,0,0,1,0,0
7,83,50,6,20,0,1,0,0,0,0,1,2,0
8,61,18,39,22,1,0,0,0,0,0,0,1,0
9,84,14,50,1,113,1,1,0,0,0,0,0,0
11,78,23,13,24,1,0,0,0,0,0,0,0,0
12,74,22,34,22,0,0,0,0,0,0,0,0,0
13,79,60,7,69,0,0,0,5,0,0,0,0,0
14,70,55,24,29,0,0,1,26,0,1,0,0,0
15,62,28,34,23,0,0,0,0,0,0,0,1,0
17,64,66,9,1,2,0,0,0,0,0,0,0,0
19,47,47,10,2,0,0,0,1,0,0,0,0,0
20,89,58,30,4,0,0,0,25,0,0,0,0,0
22,56,34,25,16,0,0,0,0,0,0,0,0,0
23,32,66,13,0,0,0,0,0,0,0,1,0,0
24,76,77,11,13,0,1,0,75,0,0,0,0,0
25,85,26,7,30,0,0,0,0,0,0,0,0,0
27,90,83,77,54,0,0,1,7,0,0,0,0,0
28,86,38,31,17,0,0,0,37,0,0,0,0,0
29,41,11,23,19,0,0,0,0,0,0,1,0,0
30,65,8,72,8,3,0,0,0,0,0,0,0,0
33,104,7,58,6,4,0,0,2,0,0,0,0,0
34,94,24,11,4,0,0,0,0,0,0,0,0,0
36,52,19,23,9,0,0,2,0,0,0,0,0,0
39,54,33,9,0,59,0,2,1,0,0,0,0,0
40,112,26,12,22,0,0,3,2,0,0,0,0,0
43,87,14,25,1,45,0,0,6,0,0,0,0,0
44,67,9,46,4,36,0,0,2,0,0,0,0,0
45,60,50,24,20,0,0,0,32,0,0,0,1,1
46,80,36,11,61,0,0,0,5,1,1,1,0,0
47,77,21,35,23,0,0,0,0,0,0,0,0,0
48,102,23,39,66,0,1,1,63,0,0,0,0,0
49,68,18,26,36,0,0,0,0,0,0,0,0,0
50,57,0,69,61,0,1,0,0,0,0,0,0,0
51,95,37,29,3,1,0,0,0,0,1,2,0,188
52,39,24,19,24,1,0,1,0,0,0,1,0,0
53,58,4,72,40,0,0,1,1,0,0,0,0,0
54,97,17,20,5,0,0,0,0,0,0,0,0,0
56,48,2,94,68,0,1,0,0,0,0,1,0,0
58,29,46,5,39,0,1,0,2,0,0,0,0,0
60,69,28,3,8,1,0,0,0,0,0,0,0,0
61,49,35,10,13,8,0,0,0,0,0,0,0,0
63,92,30,20,48,0,1,1,0,0,0,1,0,0
