id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
4,448,14,3,0,124,0,0,4,0,0,0,0,63
8,485,15,5,0,0,0,2,2,0,0,1,1,0
16,449,31,6,0,128,0,1,0,0,0,0,0,21
27,426,0,0,0,0,3,0,0,0,0,0,0,0
28,478,5,94,0,241,0,1,3,0,0,0,0,0
30,447,0,146,3,160,0,0,9,0,0,0,0,0
37,468,34,25,0,0,67,0,1,2,1,0,0,0
40,454,0,0,0,0,0,2,0,0,0,1,0,0
44,481,35,82,0,1,0,159,21,4,0,0,0,0
51,437,7,69,0,215,0,2,4,0,0,0,3,0
53,438,9,34,1,1,0,0,1,0,0,0,0,3
55,466,6,27,4,2,0,1,22,49,0,1,1,0
57,427,31,9,0,0,0,0,2,6,0,1,3,78
59,396,19,0,0,0,0,0,0,0,0,0,0,0
61,391,10,1,0,0,0,0,0,0,0,0,1,116
63,474,16,2,0,0,0,0,0,0,0,0,0,1
69,473,26,46,8,0,276,0,3,0,0,0,42,0
71,453,1,54,1,124,0,0,2,0,0,0,0,0
78,415,6,102,1,97,0,3,3,0,0,2,0,0
80,424,50,27,0,2,0,1,16,0,0,20,1,0
81,377,11,0,0,0,0,0,0,0,0,0,1,0
