id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
4,571,80,23,6,1,0,0,46,36,0,0,0,0
8,565,103,13,15,1,0,137,18,0,0,0,0,0
9,597,9,68,1,5,209,2,0,1,0,0,19,0
10,543,43,4,3,1,0,80,17,0,0,0,0,0
12,598,107,35,4,0,0,154,27,0,1,0,0,0
21,580,0,0,1,0,0,1,0,0,1,0,0,137
28,572,157,21,1,0,0,141,9,0,0,0,0,0
33,578,87,7,0,0,0,124,12,0,0,0,0,0
35,599,113,14,0,0,0,172,19,0,1,0,0,0
37,558,66,25,0,0,0,121,15,6,2,0,0,0
39,531,104,39,3,0,0,242,13,1,1,0,0,0
40,593,51,5,12,0,1,92,21,4,0,0,1,0
43,579,19,35,5,15,139,1,2,0,0,1,7,0
44,563,0,0,1,1,0,0,0,0,2,1,0,0
45,569,30,44,3,0,233,0,0,0,0,0,39,0
51,594,82,20,0,0,0,62,5,0,0,0,0,0
52,554,57,10,0,0,0,0,0,0,0,1,1,50
54,600,50,6,12,0,1,89,12,0,0,0,0,0
63,601,119,7,9,0,0,108,4,0,0,0,0,0
64,590,35,19,0,0,0,0,0,0,0,1,0,0
68,587,0,0,1,0,0,1,0,0,0,0,0,0
