id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
0,565,103,13,15,1,0,137,18,0,0,0,0,0
1,543,43,4,3,1,0,80,17,0,0,0,0,0
8,580,0,0,1,0,0,1,0,0,1,0,0,137
15,572,157,21,1,0,0,141,9,0,0,0,0,0
20,578,87,7,0,0,0,124,12,0,0,0,0,0
21,599,113,14,0,0,0,172,19,0,1,0,0,0
22,599,113,14,0,0,0,172,19,0,1,0,0,0
23,558,66,25,0,0,0,121,15,6,2,0,0,0
26,531,104,39,3,0,0,242,13,1,1,0,0,0
30,593,51,5,12,0,1,92,21,4,0,0,1,0
32,563,0,0,1,1,0,0,0,0,2,1,0,0
34,569,30,44,3,0,233,0,0,0,0,0,39,0
35,610,29,4,1,0,1,0,33,55,0,0,1,17
43,594,82,20,0,0,0,62,5,0,0,0,0,0
48,554,57,10,0,0,0,0,0,0,0,1,1,50
50,600,50,6,12,0,1,89,12,0,0,0,0,0
57,601,119,7,9,0,0,108,4,0,0,0,0,0
58,590,35,19,0,0,0,0,0,0,0,1,0,0
62,564,20,2,0,0,0,2,0,0,0,0,0,30
63,587,0,0,1,0,0,1,0,0,0,0,0,0
67,595,85,7,0,1,1,70,17,3,0,0,0,0
